Шот с утвержденной анимацией от китайцев,"Длительность,кадров",,Номер эпизода,"Номер шота с утвержденной анимацией (нашей), в т.ч. шоты без анимации","Длительность,кадров"
180-191,35,,020,SHOT_010,1030
180-370,226,,030,SHOT_025,72
180-371,71,,030,SHOT_020,235
180-440,24,,030,SHOT_010,84
060-020,40,,030,SHOT_026,37
060-042,30,,040,SHOT_005,126
180-020,50,,040,SHOT_010,171
080-140,36,,040,SHOT_020,291
150-020,28,,140,SHOT_070,61
150-035,74,,140,SHOT_011,36
180-060,118,,140,SHOT_080,66
221-030,116,,140,SHOT_071,41
170-010,66,,140,SHOT_072,75
050-010,171,,140,SHOT_073,47
050-030,72,,140,SHOT_076,80
060-170,50,,140,SHOT_111,46
240-021,52,,140,SHOT_112,34
050-020,130,,140,SHOT_090,80
080-010,310,,140,SHOT_100,97
080-030,100,,140,SHOT_110,150
090-070,100,,140,SHOT_010,49
110-060,50,,140,SHOT_020,55
170-026,106,,140,SHOT_040,22
180-160,339,,140,SHOT_050,76
180-406,48,,150,SHOT_015,45
180-452,23,,150,SHOT_010,206
060-220,201,,150,SHOT_016,201
180-140,82,,160,SHOT_053,133
180-190,480,,70,SHOT_040,52
220-031,190,,070,SHOT_060,120
221-020,120,,070,SHOT_105,55
220-032,61,,070,SHOT_032,27
060-230,65,,070,SHOT_190,70
180-301,40,,070,SHOT_200,85
180-430,34,,070,SHOT_374,43
150-030,176,,070,SHOT_010,250
180-030,105,,070,SHOT_030,60
080-250,120,,070,SHOT_020,81
110-065,53,,070,SHOT_224,33
180-110,208,,070,SHOT_065,35
110-145,94,,070,SHOT_031,52
060-093,56,,070,SHOT_375,135
180-120,36,,070,SHOT_223,27
180-050,55,,070,SHOT_215,42
180-435,44,,070,SHOT_373,32
080-170,70,,220,SHOT_030,100
180-433,75,,220,SHOT_040,81
060-180,142,,220,SHOT_050,119
180-142,82,,080,SHOT_060,386
180-145,71,,080,SHOT_270,166
180-420,46,,080,SHOT_280,87
080-190,100,,080,SHOT_040,75
220-052,211,,100,SHOT_125,220
180-432,29,,100,SHOT_135,137
240-020,96,,100,SHOT_010,150
080-150,69,,100,SHOT_130,70
180-010,420,,110,SHOT_170,40
090-040,253,,110,SHOT_140,36
220-020,206,,110,SHOT_180,67
080-020,316,,110,SHOT_152,100
180-240,191,,110,SHOT_050,78
