,Rendering,Episodes,Animation,Layout,Compositing
0,0.71,20,0.71,0.0,0.71
1,0.29,30,0.29,0.0,0.29
2,0.41,40,0.41,0.0,0.41
3,0.62,120,0.62,0.13,0.62
4,0.81,140,0.85,0.15,0.85
5,0.55,150,0.55,0.17,0.55
6,1.37,160,1.37,1.23,1.37
7,1.67,190,1.72,1.67,1.67
8,4.09,70,4.09,2.64,4.09
9,0.74,170,0.74,0.08,0.74
10,4.23,180,4.16,1.43,4.23
11,0.17,210,0.17,0.0,0.17
12,0.7,220,0.66,0.29,0.7
13,2.29,200,2.29,2.29,2.29
14,3.28,80,3.28,2.32,3.28
15,0.0,10,0.0,0.0,0.0
16,1.31,100,1.31,0.68,1.31
17,1.3,110,1.3,0.1,1.3
18,2.39,60,2.43,0.12,2.43
19,0.01,0,0.01,0.01,0.01
20,2.96,222,2.91,2.96,2.96
21,0.45,221,0.45,0.45,0.45
22,0.28,50,0.28,0.19,0.28
23,1.06,90,1.06,0.66,1.06
