,Animation,Compositing,Layout,Rendering
0,0.0,0.0,0.0,0.0
20,100.0,0.0,,0.0
30,100.0,100.0,,100.0
40,100.0,100.0,,100.0
50,100.0,100.0,100.0,100.0
60,61.4195764167,61.4195764167,100.0,60.8139534884
70,100.0,84.0217576067,100.0,84.0217576067
80,38.679245283,12.4142367067,100.0,19.0394511149
90,48.0946123522,23.5873850197,100.0,23.5873850197
100,30.2694136292,30.2694136292,89.8461538462,30.2694136292
110,46.346782988,46.346782988,100.0,46.346782988
120,60.4677060134,60.4677060134,100.0,60.4677060134
140,82.6986754967,82.6986754967,100.0,81.9827586207
150,91.7617237009,91.7617237009,100.0,91.7617237009
160,13.4214539908,13.4214539908,84.1868317389,13.4214539908
170,15.9624413146,15.9624413146,100.0,15.9624413146
180,48.0320213476,16.6694011485,93.949661181,16.6694011485
190,1.98380566802,0.0,100.0,0.0
200,0.0,0.0,100.0,0.0
210,0.0,0.0,,0.0
220,90.6315789474,55.6435643564,100.0,55.6435643564
221,78.4829721362,0.0,100.0,0.0
222,0.848456280933,0.0,97.9823747681,0.0
410,0.0,0.0,100.0,0.0
420,0.0,0.0,100.0,0.0
430,0.0,0.0,100.0,0.0
440,0.0,0.0,100.0,0.0
450,0.0,0.0,100.0,0.0
460,0.0,0.0,100.0,0.0
470,0.0,0.0,100.0,0.0
480,0.0,0.0,100.0,0.0
490,0.0,0.0,100.0,0.0
500,0.0,0.0,100.0,0.0
510,0.0,0.0,100.0,0.0
520,0.0,0.0,100.0,0.0
530,0.0,0.0,100.0,0.0
540,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0
560,0.0,0.0,100.0,0.0
570,0.0,0.0,100.0,0.0
580,0.0,0.0,0.0,0.0
590,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
610,0.0,0.0,0.0,0.0
620,0.0,0.0,0.0,0.0
630,0.0,0.0,100.0,0.0
640,0.0,0.0,0.0,0.0
