Episodes,Animation,Compositing,Layout,Rendering
230,100.0,17.9598480738,100.0,20.618556701
240,51.5239477504,0.0,,0.0
250,89.3152302243,6.31641086187,100.0,6.31641086187
260,14.2559109875,14.2559109875,100.0,14.2559109875
270,0.0,0.0,100.0,0.0
280,100.0,9.45512820513,100.0,9.45512820513
290,0.0,0.0,0.0,0.0
300,100.0,0.0,100.0,46.3414634146
310,1.80250783699,0.0,1.80250783699,0.0
320,0.0,0.0,0.0,0.0
330,4.8275862069,0.0,100.0,0.0
340,0.0,0.0,100.0,0.0
350,0.0,0.0,69.6737044146,0.0
360,0.0,0.0,100.0,0.0
370,0.0,0.0,100.0,0.0
380,0.0,0.0,100.0,0.0
390,0.0,0.0,100.0,0.0
400,0.0,0.0,100.0,0.0
