,NAME,STATUS,SHOT,SEQ,REEL
0,Layout,In progress,SHOT_149,820,820
1,Animation,Ready to Start,SHOT_150,450,450
2,Layout,Completed,SHOT_150,450,450
3,Layout,In progress,SHOT_150,820,820
4,Animation,Ready to Start,SHOT_240,450,450
5,Layout,Completed,SHOT_240,450,450
6,Hair and Fur,Completed,SHOT_454,180,180
7,Layout,In progress,SHOT_005,820,820
8,Layout,In progress,SHOT_151,820,820
9,Layout,In progress,SHOT_152,820,820
10,Layout,In progress,SHOT_153,820,820
11,FTP,Completed,SHOT_080,370,370
12,Layout,In progress,SHOT_154,820,820
13,Animation,Approved,SHOT_454,180,180
14,Layout,In progress,SHOT_155,820,820
15,Lookdev,On Hold,SHOT_454,180,180
16,FTP,Completed,SHOT_100,370,370
17,Assemble,Completed,SHOT_454,180,180
18,Layout,In progress,SHOT_156,820,820
19,Cloth,Completed,SHOT_454,180,180
20,Baking,Completed,SHOT_454,180,180
21,FTP,Completed,SHOT_070,370,370
22,Layout,In progress,SHOT_160,820,820
23,Assemble,Completed,SHOT_050,180,180
24,Cloth,Completed,SHOT_060,180,180
25,Compositing,Pending Review,SHOT_060,180,180
26,Paint,Not started,SHOT_060,180,180
27,Animation,Approved,SHOT_060,180,180
28,Lookdev,Ready to Start,SHOT_060,180,180
29,Baking,Completed,SHOT_060,180,180
30,Compositing,Pending Review,SHOT_020,150,150
31,Paint,Ready to Start,SHOT_020,150,150
32,Compositing,Pending Review,SHOT_035,150,150
33,Paint,Ready to Start,SHOT_035,150,150
34,Animation,Approved,SHOT_035,150,150
35,Lookdev,Pending Review,SHOT_035,150,150
36,Baking,Completed,SHOT_035,150,150
37,Compositing,Pending Review,SHOT_010,080,080
38,Paint,Completed,SHOT_010,080,080
39,Cloth,Completed,SHOT_160,180,180
40,Compositing,Pending Review,SHOT_160,180,180
41,Paint,In progress,SHOT_160,180,180
42,Lookdev,In progress,SHOT_010,080,080
43,Animation,Approved,SHOT_160,180,180
44,Lookdev,Pending Review,SHOT_160,180,180
45,Baking,Completed,SHOT_160,180,180
46,Compositing,Pending Review,SHOT_060,110,110
47,Paint,Completed,SHOT_060,110,110
48,Animation,Approved,SHOT_060,110,110
49,Lookdev,Ready to Start,SHOT_060,110,110
50,Assemble,Completed,SHOT_060,110,110
51,Baking,Completed,SHOT_060,110,110
52,Rendering,Not started,SHOT_190,180,180
53,Animation,Approved,SHOT_190,180,180
54,Lookdev,In progress,SHOT_190,180,180
55,Baking,Completed,SHOT_190,180,180
56,Cloth,Ready to Start,SHOT_430,180,180
57,Animation,Approved,SHOT_430,180,180
58,Baking,Completed,SHOT_430,180,180
59,Layout,In progress,SHOT_060,690,690
60,Animation,Ready to Start,SHOT_080,360,360
61,Layout,Completed,SHOT_080,360,360
62,Compositing,In progress,SHOT_370,180,180
63,Paint,Completed,SHOT_370,180,180
64,Lookdev,In progress,SHOT_370,180,180
65,Fur,Completed,SHOT_230,060,060
66,Animation,Ready to Start,SHOT_020,450,450
67,Layout,Completed,SHOT_020,450,450
68,Rendering,In progress,SHOT_044,000,000
69,Layout,In progress,SHOT_630,310,310
70,Layout,In progress,SHOT_030,590,590
71,Fur,Ready to Start,SHOT_220,060,060
72,Animation,Ready to Start,SHOT_040,360,360
73,Layout,Completed,SHOT_040,360,360
74,Animation,Ready to Start,SHOT_180,360,360
75,Layout,Completed,SHOT_180,360,360
76,Layout,In progress,SHOT_031,610,610
77,Layout,In progress,SHOT_145,640,640
78,fx,Ready to Start,SHOT_010,170,170
79,FTP,Completed,SHOT_061,780,780
