,Name,Status,Shot,Seq,Reel,StartDate,EndDate,Duration
,Hair and Fur,Not started,SHOT_220,550,REEL_03,,,77.0
,Compositing,Not started,SHOT_220,550,REEL_03,,,77.0
,Paint,Not started,SHOT_220,550,REEL_03,,,77.0
,Rendering,Not started,SHOT_220,550,REEL_03,,,77.0
,Animation,Not started,SHOT_220,550,REEL_03,,,77.0
,Lookdev,Not started,SHOT_220,550,REEL_03,,,77.0
,Assemble,Completed,SHOT_220,550,REEL_03,,,77.0
,Layout,In progress,SHOT_220,550,REEL_03,,,77.0
,Cloth,Not started,SHOT_220,550,REEL_03,,,77.0
,Baking,Not started,SHOT_220,550,REEL_03,,,77.0
,fx,Not started,SHOT_220,550,REEL_03,,,77.0
,Hair and Fur,Not started,SHOT_040,550,REEL_03,,,54.0
,Compositing,Not started,SHOT_040,550,REEL_03,,,54.0
,Paint,Not started,SHOT_040,550,REEL_03,,,54.0
,Rendering,Not started,SHOT_040,550,REEL_03,,,54.0
,Animation,Not started,SHOT_040,550,REEL_03,,,54.0
,Lookdev,Not started,SHOT_040,550,REEL_03,,,54.0
,Assemble,Completed,SHOT_040,550,REEL_03,,,54.0
,Layout,In progress,SHOT_040,550,REEL_03,,,54.0
,Cloth,Not started,SHOT_040,550,REEL_03,,,54.0
,Baking,Not started,SHOT_040,550,REEL_03,,,54.0
,Hair and Fur,Not started,SHOT_110,550,REEL_03,,,53.0
,Compositing,Not started,SHOT_110,550,REEL_03,,,53.0
,Paint,Not started,SHOT_110,550,REEL_03,,,53.0
,Rendering,Not started,SHOT_110,550,REEL_03,,,53.0
,Animation,Not started,SHOT_110,550,REEL_03,,,53.0
,Lookdev,Not started,SHOT_110,550,REEL_03,,,53.0
,Assemble,Completed,SHOT_110,550,REEL_03,,,53.0
,Layout,In progress,SHOT_110,550,REEL_03,2015-12-11 00:00:00,,53.0
,Cloth,Not started,SHOT_110,550,REEL_03,,,53.0
,Baking,Not started,SHOT_110,550,REEL_03,,,53.0
,Hair and Fur,Not started,SHOT_150,550,REEL_03,,,107.0
,Compositing,Not started,SHOT_150,550,REEL_03,,,107.0
,Paint,Not started,SHOT_150,550,REEL_03,,,107.0
,Rendering,Not started,SHOT_150,550,REEL_03,,,107.0
,Animation,Not started,SHOT_150,550,REEL_03,,,107.0
,Lookdev,Not started,SHOT_150,550,REEL_03,,,107.0
,Assemble,Completed,SHOT_150,550,REEL_03,,,107.0
,Layout,In progress,SHOT_150,550,REEL_03,,,107.0
,Cloth,Not started,SHOT_150,550,REEL_03,,,107.0
,Baking,Not started,SHOT_150,550,REEL_03,,,107.0
,Hair and Fur,Not started,SHOT_190,550,REEL_03,,,140.0
,Compositing,Not started,SHOT_190,550,REEL_03,,,140.0
,Paint,Not started,SHOT_190,550,REEL_03,,,140.0
,Rendering,Not started,SHOT_190,550,REEL_03,,,140.0
,Animation,Not started,SHOT_190,550,REEL_03,,,140.0
,Lookdev,Not started,SHOT_190,550,REEL_03,,,140.0
,Assemble,Completed,SHOT_190,550,REEL_03,,,140.0
,Layout,In progress,SHOT_190,550,REEL_03,,,140.0
,Cloth,Not started,SHOT_190,550,REEL_03,,,140.0
,Baking,Not started,SHOT_190,550,REEL_03,,,140.0
,Hair and Fur,Not started,SHOT_120,550,REEL_03,,,62.0
,Compositing,Not started,SHOT_120,550,REEL_03,,,62.0
,Paint,Not started,SHOT_120,550,REEL_03,,,62.0
,Rendering,Not started,SHOT_120,550,REEL_03,,,62.0
,Animation,Not started,SHOT_120,550,REEL_03,,,62.0
,Lookdev,Not started,SHOT_120,550,REEL_03,,,62.0
,Assemble,Completed,SHOT_120,550,REEL_03,,,62.0
,Layout,In progress,SHOT_120,550,REEL_03,,,62.0
,Cloth,Not started,SHOT_120,550,REEL_03,,,62.0
,Baking,Not started,SHOT_120,550,REEL_03,,,62.0
,Hair and Fur,Not started,SHOT_010,550,REEL_03,,,203.0
