,Rendering,Episodes,Animation,Layout,Compositing
0,0.73,290,0.73,0.73,0.73
1,0.48,240,0.48,0.0,0.48
2,0.3,350,0.3,0.3,0.3
3,1.28,230,1.28,1.28,1.28
4,0.15,320,0.15,0.15,0.15
5,1.0,260,1.0,1.0,1.0
6,0.23,270,0.23,0.23,0.23
7,0.43,280,0.43,0.43,0.43
8,0.13,390,0.13,0.13,0.13
9,0.34,340,0.34,0.34,0.34
10,0.34,300,0.34,0.34,0.34
11,3.54,310,3.54,3.54,3.54
12,0.09,400,0.09,0.09,0.09
13,1.11,250,1.11,0.87,1.11
14,0.4,380,0.4,0.4,0.4
15,1.12,360,1.12,1.12,1.12
16,1.71,330,1.71,1.71,1.71
17,0.99,370,0.99,0.99,0.99
